stat,role,alpha,tau,importance
kills,top,0.6556830406188965,0.5933555960655212,1.1050423135244059
kills,jng,0.6984992027282715,0.5172932744026184,1.350296316020953
kills,mid,0.6219255924224854,0.5784542560577393,1.0751508626818833
kills,adc,0.7121750116348267,0.4390741288661957,1.6219926541193601
kills,sup,0.49714791774749756,0.831730842590332,0.5977269235311586
deaths,top,-0.20820114016532898,0.6531788110733032,0.31875060341166445
deaths,jng,-0.26883140206336975,0.5806488394737244,0.4629844818204187
deaths,mid,-0.24075153470039368,0.6596000790596008,0.36499621868395743
deaths,adc,-0.20958755910396576,0.6297654509544373,0.3328025676644004
deaths,sup,-0.130468487739563,0.643364429473877,0.20279095604687997
cs,top,0.4289465546607971,0.38966014981269836,1.1008222289782081
cs,jng,0.5427823662757874,0.4517315626144409,1.2015595349025003
cs,mid,0.3769178092479706,0.38196995854377747,0.9867734381126
cs,adc,0.34981322288513184,0.3560825288295746,0.9823936715877366
cs,sup,0.28779247403144836,1.0575876235961914,0.2721216357022474
golds,top,0.5272864103317261,0.08328995108604431,6.330732620877668
golds,jng,0.5694940686225891,0.06932613253593445,8.214709919486681
golds,mid,0.48939043283462524,0.08702591061592102,5.6235025795305305
golds,adc,0.48135682940483093,0.08767826110124588,5.49003622287841
golds,sup,0.5263034701347351,0.07184532284736633,7.32550776134522
