pair,prior,learned,delta
jng-sup,0.64000004529953,0.5965526103973389,-0.04344743490219116
adc-sup,0.800000011920929,0.5815725326538086,-0.21842747926712036
mid-sup,0.4000000059604645,0.5513086318969727,0.15130862593650818
jng-adc,0.320000022649765,0.4331563115119934,0.1131562888622284
jng-mid,0.48000001907348633,0.417517751455307,-0.06248226761817932
top-sup,0.08000000566244125,0.4000530540943146,0.3200530409812927
mid-adc,0.1600000113248825,0.34953659772872925,0.18953658640384674
top-jng,0.24000000953674316,0.3181566298007965,0.07815662026405334
top-mid,0.12000000476837158,0.2660629451274872,0.1460629403591156
top-adc,0.04000000283122063,0.23385101556777954,0.19385100901126862
