pair,fixed,learned,delta
jng-sup,0.64000004529953,0.5842812657356262,-0.05571877956390381
adc-sup,0.800000011920929,0.5827466249465942,-0.21725338697433472
mid-sup,0.4000000059604645,0.5218265652656555,0.12182655930519104
jng-adc,0.320000022649765,0.4064117670059204,0.0864117443561554
top-sup,0.08000000566244125,0.3987824022769928,0.31878238916397095
jng-mid,0.48000001907348633,0.38489338755607605,-0.09510663151741028
mid-adc,0.1600000113248825,0.3292064666748047,0.16920645534992218
top-jng,0.24000000953674316,0.2742379903793335,0.03423798084259033
top-mid,0.12000000476837158,0.24683523178100586,0.12683522701263428
top-adc,0.04000000283122063,0.23019106686115265,0.19019106030464172
