game_block_id,game_id,Date,Tournament,Game,player_id,player_name,role,Champion,Result,Duration,level,kills,deaths,assists,cs,golds,vision_score,solo_kills,double_kills,triple_kills,quadra_kills,penta_kills,gd_at_15,csd_at_15,xpd_at_15,objectives_stolen,damage_dealt_to_buildings,total_heal,total_heals_on_teammates,damage_self_mitigated,total_damage_shielded_on_teammates,total_time_cc_dealt,total_damage_taken,total_time_spent_dead,shutdown_bounty_collected,shutdown_bounty_lost,total_damage_to_champion,team_kills,team_deaths,team_assists,team_cs,team_golds,team_vision_score,team_total_damage_to_champion,kills_diff_vs_role_opp,deaths_diff_vs_role_opp,assists_diff_vs_role_opp,cs_diff_vs_role_opp,golds_diff_vs_role_opp,vision_diff_vs_role_opp,damage_diff_vs_role_opp
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3322,Berserker,ADC,Kaisa,Defeat,33:39,17,6.0,3.0,4.0,341,14971,56,,0,1,0,0,-288,-4,-531,0,2161,5951,0,16316,0,114,16469,77,346,563,24569,14.0,13.0,37.0,1097,59184,334,101626,2.0,1.0,-1.0,19,-1010,26,7510
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,2664,Pyosik,JUNGLE,Nocturne,Defeat,33:39,15,1.0,2.0,9.0,201,11140,38,,0,0,0,0,-1359,-10,-209,0,481,27160,0,28439,0,470,41078,65,157,276,11956,14.0,13.0,37.0,1097,59184,334,101626,-5.0,0.0,4.0,-45,-2581,-25,-4295
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3974,Bulldog,MID,Orianna,Defeat,33:39,17,4.0,3.0,9.0,262,13465,46,,0,0,0,0,-38,-9,-167,0,4648,3388,0,12660,1037,419,18493,134,434,433,24144,14.0,13.0,37.0,1097,59184,334,101626,2.0,-4.0,2.0,34,1849,12,2484
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,1906,Life,SUPPORT,Rell,Defeat,33:39,10,0.0,4.0,9.0,44,7992,151,,0,0,0,0,-6,5,-322,0,255,1816,0,25052,970,62,14885,83,0,0,5091,14.0,13.0,37.0,1097,59184,334,101626,0.0,2.0,-2.0,9,-85,20,-413
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3082,DuDu,TOP,Aurora,Defeat,33:39,16,3.0,1.0,6.0,249,11616,43,,0,0,0,0,285,16,672,0,2502,13192,0,17327,0,198,27804,49,0,405,35866,14.0,13.0,37.0,1097,59184,334,101626,2.0,0.0,1.0,-25,-738,5,22183
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,4755,Jiwoo,ADC,Xayah,Victory,33:39,17,4.0,2.0,5.0,322,15981,30,1.0,1,0,0,0,288,4,531,0,6894,8146,0,9051,0,49,17385,95,1232,343,17059,13.0,14.0,33.0,1105,61749,296,74157,-2.0,-1.0,1.0,-19,1010,-26,-7510
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3327,GIDEON,JUNGLE,Xin Zhao,Victory,33:39,16,6.0,2.0,5.0,246,13721,63,,1,0,0,0,1359,10,209,0,5165,37594,0,39861,0,693,51923,92,169,434,16251,13.0,14.0,33.0,1105,61749,296,74157,5.0,0.0,-4.0,45,2581,25,4295
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,4796,Fisher,MID,Viktor,Victory,33:39,15,2.0,7.0,7.0,228,11616,34,,1,0,0,0,38,9,167,0,3085,2933,0,16567,0,520,22770,246,276,0,21660,13.0,14.0,33.0,1105,61749,296,74157,-2.0,4.0,-2.0,-34,-1849,-12,-2484
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,738,Lehends,SUPPORT,Rakan,Victory,33:39,13,0.0,2.0,11.0,35,8077,131,,0,0,0,0,6,-5,322,0,1530,8585,1686,21233,2236,100,18664,57,0,0,5504,13.0,14.0,33.0,1105,61749,296,74157,0.0,-2.0,2.0,-9,85,-20,413
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,1229,kingen,TOP,KSante,Victory,33:39,17,1.0,1.0,5.0,274,12354,38,,0,0,0,0,-285,-16,-672,0,2694,8736,0,69903,1137,541,37545,49,0,160,13683,13.0,14.0,33.0,1105,61749,296,74157,-2.0,0.0,-1.0,25,738,-5,-22183
2,62972,2025-01-15,LCK Cup 2025,DN Freecs vs NS,4755,Jiwoo,ADC,Ezreal,Defeat,34:33,15,3.0,2.0,5.0,264,12240,25,,1,0,0,0,-577,-16,456,0,863,4273,0,11049,0,113,18779,32,292,374,21521,10.0,19.0,26.0,1114,57612,285,86725,-1.0,1.0,-7.0,-34,-2429,-34,-7318
2,62972,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3327,GIDEON,JUNGLE,Nidalee,Defeat,34:33,15,2.0,6.0,6.0,221,11361,57,,0,0,0,0,730,25,587,0,89,25302,6114,28420,0,212,36694,170,0,64,13204,10.0,19.0,26.0,1114,57612,285,86725,2.0,4.0,-13.0,43,166,7,3016
2,62972,2025-01-15,LCK Cup 2025,DN Freecs vs NS,4796,Fisher,MID,Corki,Defeat,34:33,16,1.0,0.0,6.0,323,13707,42,,0,0,0,0,-13,4,-88,0,3525,6164,0,17587,0,96,26145,0,496,0,31993,10.0,19.0,26.0,1114,57612,285,86725,-7.0,-2.0,-1.0,-8,-2006,1,-4363
