player_id,player_name,role,games,wins,losses,win_rate,avg_kills,avg_deaths,avg_assists,avg_kda_ratio,avg_csm,avg_dpm,avg_kp,first_game_date,last_game_date,unique_tournaments
685,Ruler,ADC,116,87,29,0.75,5.8276,1.9224,5.8448,6.6561,9.9009,785.1466,0.6962,,,
1115,Kiin,TOP,116,87,29,0.75,3.2155,2.569,6.5776,5.2992,7.9181,637.181,0.5941,,,
1629,Chovy,MID,116,87,29,0.75,3.7931,2.0431,7.5086,5.7016,9.4129,772.181,0.6776,,,
1909,Canyon,JUNGLE,116,87,29,0.75,3.1121,2.2759,8.4655,6.351,6.931,460.3017,0.696,,,
4259,Duro,SUPPORT,116,87,29,0.75,0.7586,2.7759,11.7672,5.9384,0.8138,202.9138,0.7492,,,
1250,ShowMaker,MID,116,65,51,0.5603,3.6034,2.1466,6.9483,5.6227,8.4655,639.6724,0.6958,,,
1328,Aiming,ADC,116,65,51,0.5603,4.5603,1.7069,6.4741,7.2014,9.7319,731.75,0.7371,,,
2184,BeryL,SUPPORT,116,65,51,0.5603,0.7328,3.7328,9.9052,4.211,1.2121,226.7845,0.7076,,,
3895,Lucid,JUNGLE,116,65,51,0.5603,3.1897,2.8103,8.0,5.7528,6.3681,418.0776,0.7473,,,
5392,Siwoo,TOP,116,65,51,0.5603,2.7845,2.7845,5.3103,3.937,7.9474,595.7759,0.5587,,,
392,Peanut,JUNGLE,113,74,39,0.6549,2.7699,2.885,8.8407,6.3135,6.4274,414.7788,0.7022,,,
1228,Viper,ADC,113,74,39,0.6549,5.4336,2.0177,6.3363,6.3095,9.5496,782.1593,0.698,,,
2906,Zeka,MID,113,74,39,0.6549,3.9292,2.3451,6.6991,5.9263,8.7177,685.1858,0.6375,,,
3411,Delight,SUPPORT,113,74,39,0.6549,0.8938,3.1504,11.5044,5.4214,1.246,206.0177,0.752,,,
3658,Zeus,TOP,113,74,39,0.6549,3.4602,3.0796,6.2655,4.2177,7.9752,627.9204,0.5897,,,
48,Faker,MID,108,66,42,0.6111,3.0926,2.3519,6.8333,5.7954,8.5676,679.5278,0.6107,,,
1242,Doran,TOP,108,66,42,0.6111,3.1111,3.2685,5.8519,3.8613,8.0315,622.8519,0.5728,,,
1258,Keria,SUPPORT,108,66,42,0.6111,0.8426,2.8333,11.3241,5.6781,1.0731,247.2685,0.7584,,,
3741,Oner,JUNGLE,108,66,42,0.6111,3.9074,2.5833,7.8148,5.8604,6.8889,494.0185,0.7405,,,
650,Bdd,MID,104,47,57,0.4519,3.6442,2.2692,6.1827,5.3264,8.7308,642.9135,0.7053,,,
983,Cuzz,JUNGLE,104,47,57,0.4519,3.1538,2.7404,7.4038,4.8441,6.5923,443.1923,0.7471,,,
738,Lehends,SUPPORT,102,42,60,0.4118,1.0588,4.4608,8.0392,3.1735,1.0461,225.0882,0.6724,,,
1229,kingen,TOP,102,42,60,0.4118,2.7059,3.0882,4.6275,2.9776,7.9108,646.2549,0.546,,,
3327,GIDEON,JUNGLE,102,42,60,0.4118,2.8039,3.1667,6.9216,4.04,6.2882,396.3333,0.7338,,,
1613,Rich,TOP,97,38,59,0.3918,2.5361,3.1031,5.0309,3.2327,7.601,597.134,0.5739,,,
4753,Sponge,JUNGLE,97,38,59,0.3918,2.7732,3.6907,6.8144,4.0285,6.2866,441.0928,0.7484,,,
2508,deokdam,ADC,96,44,52,0.4583,4.25,2.4896,5.7917,5.0002,8.9479,688.2812,0.7135,,,
1971,Kellin,SUPPORT,96,40,56,0.4167,0.7396,3.8438,10.2396,4.2585,0.9052,223.1562,0.7679,,,
4233,Raptor,JUNGLE,96,40,56,0.4167,3.1354,3.4688,7.4062,4.6312,6.0917,462.3646,0.7346,,,
4943,Diable,ADC,96,40,56,0.4167,4.9792,2.6979,5.4271,5.2846,9.5948,743.9688,0.7291,,,
4755,Jiwoo,ADC,94,41,53,0.4362,3.766,3.0319,5.3511,4.5195,8.8872,685.117,0.6651,,,
2545,Morgan,TOP,92,36,56,0.3913,2.6413,2.7717,5.0,3.3641,8.1,571.6739,0.5767,,,
3195,Clozer,MID,92,36,56,0.3913,2.9783,2.3478,6.2065,4.2715,9.1272,635.0326,0.6961,,,
4865,Pollu,SUPPORT,92,36,56,0.3913,0.4783,3.587,9.3261,3.4591,0.9337,191.5543,0.7406,,,
3326,Vicla,MID,88,37,51,0.4205,2.8182,3.2955,6.7727,3.8873,8.3466,689.0227,0.6604,,,
3082,DuDu,TOP,88,21,67,0.2386,2.3977,3.0114,3.9205,2.7474,7.9273,574.9886,0.559,,,
3322,Berserker,ADC,88,21,67,0.2386,3.3295,2.1932,4.7273,3.8822,9.55,650.9205,0.6901,,,
4938,Andil,SUPPORT,87,36,51,0.4138,0.5977,4.1724,9.1609,3.0485,1.008,197.8736,0.7077,,,
3421,Clear,TOP,86,37,49,0.4302,2.4302,3.1163,5.4767,3.4724,7.6116,584.5581,0.5119,,,
5122,PerfecT,TOP,85,40,45,0.4706,2.2118,2.7412,5.0706,3.5687,7.5812,501.4353,0.4935,,,
2664,Pyosik,JUNGLE,85,20,65,0.2353,2.4,3.0941,6.1882,3.4165,6.2365,356.8941,0.7675,,,
3247,Gumayusi,ADC,84,51,33,0.6071,4.7381,2.369,6.4167,5.6403,9.6952,748.7381,0.6933,,,
4260,Peter,SUPPORT,82,40,42,0.4878,0.622,3.6707,10.4024,4.8437,1.0378,194.6463,0.7449,,,
3694,Hype,ADC,81,32,49,0.3951,4.2346,2.2469,5.0,5.1037,9.3988,683.5062,0.6916,,,
1906,Life,SUPPORT,80,19,61,0.2375,0.675,4.0625,7.7125,2.8382,1.0013,183.3125,0.7534,,,
3974,Bulldog,MID,76,19,57,0.25,2.2368,3.0921,5.7237,3.5346,8.5447,682.9211,0.6857,,,
799,Teddy,ADC,62,22,40,0.3548,4.1935,2.6129,5.4032,4.087,9.2226,667.1935,0.7131,,,
5058,Calix,MID,62,20,42,0.3226,2.871,2.5645,4.5645,4.2997,8.85,581.9516,0.6032,,,
1504,Ucal,MID,58,21,37,0.3621,3.1724,2.8448,4.8966,4.049,9.0534,611.6207,0.6446,,,
