player_id,player_name,role,games,wins,losses,win_rate,avg_kills,avg_deaths,avg_assists,avg_kda_ratio,avg_csm,avg_dpm,avg_kp,first_game_date,last_game_date,unique_tournaments
1250,ShowMaker,MID,131,73,58,0.5573,3.5573,2.1908,6.6565,5.3157,8.4748,640.5649,0.6835,2025-01-16,2025-09-18,6
1328,Aiming,ADC,131,73,58,0.5573,4.4504,1.7863,6.3588,6.8947,9.7664,742.3359,0.7294,2025-01-16,2025-09-18,6
2184,BeryL,SUPPORT,131,73,58,0.5573,0.7481,3.7481,9.771,4.1042,1.1832,229.2366,0.7102,2025-01-16,2025-09-18,6
3895,Lucid,JUNGLE,131,73,58,0.5573,3.1145,2.8244,7.9237,5.7636,6.3672,421.0305,0.7469,2025-01-16,2025-09-18,6
5392,Siwoo,TOP,131,73,58,0.5573,2.8168,2.855,5.1603,3.7698,7.9267,597.8092,0.5534,2025-01-16,2025-09-18,6
685,Ruler,ADC,121,90,31,0.7438,5.8595,1.9504,5.9008,6.5821,9.8835,787.6198,0.7016,2025-01-17,2025-09-28,5
1115,Kiin,TOP,121,90,31,0.7438,3.1983,2.6033,6.6198,5.2772,7.881,634.4711,0.5951,2025-01-17,2025-09-28,5
1629,Chovy,MID,121,90,31,0.7438,3.8017,2.0331,7.5455,5.7954,9.3934,775.2231,0.6802,2025-01-17,2025-09-28,5
1909,Canyon,JUNGLE,121,90,31,0.7438,3.0992,2.3306,8.4876,6.4303,6.9132,456.5207,0.6962,2025-01-17,2025-09-28,5
4259,Duro,SUPPORT,121,90,31,0.7438,0.7438,2.7934,11.7603,5.9367,0.8116,203.5124,0.7491,2025-01-17,2025-09-28,5
392,Peanut,JUNGLE,121,76,45,0.6281,2.7273,2.9752,8.7107,6.0874,6.4107,413.9091,0.706,2025-01-17,2025-09-28,5
1228,Viper,ADC,121,76,45,0.6281,5.3223,2.1157,6.2231,6.1213,9.519,778.1157,0.698,2025-01-17,2025-09-28,5
2906,Zeka,MID,121,76,45,0.6281,3.8512,2.438,6.6033,5.6662,8.6719,682.3306,0.642,2025-01-17,2025-09-28,5
3411,Delight,SUPPORT,121,76,45,0.6281,0.876,3.1901,11.3802,5.2679,1.2455,205.5289,0.7587,2025-01-17,2025-09-28,5
3658,Zeus,TOP,121,76,45,0.6281,3.405,3.1736,6.157,4.0745,7.9347,630.0083,0.5894,2025-01-17,2025-09-28,5
738,Lehends,SUPPORT,117,46,71,0.3932,0.9744,4.4615,7.9573,3.0939,1.0462,228.8547,0.6661,2025-01-15,2025-09-07,5
1229,kingen,TOP,117,46,71,0.3932,2.6325,3.1538,4.5897,2.9422,7.8897,641.7009,0.5487,2025-01-15,2025-09-07,5
3327,GIDEON,JUNGLE,117,46,71,0.3932,2.812,3.3077,6.7179,3.8329,6.253,394.5385,0.7306,2025-01-15,2025-09-07,5
48,Faker,MID,115,72,43,0.6261,3.1391,2.3391,7.0174,6.1194,8.5513,679.313,0.61,2025-01-16,2025-09-21,5
1242,Doran,TOP,115,72,43,0.6261,3.1652,3.2435,6.1043,3.9731,8.0383,629.1304,0.5763,2025-01-16,2025-09-21,5
1258,Keria,SUPPORT,115,72,43,0.6261,0.8348,2.8261,11.6174,5.8291,1.0783,248.1652,0.7562,2025-01-16,2025-09-21,5
3741,Oner,JUNGLE,115,72,43,0.6261,4.0348,2.5913,7.9913,5.9569,6.8817,495.8522,0.7398,2025-01-16,2025-09-21,5
650,Bdd,MID,114,54,60,0.4737,3.8596,2.2719,6.2807,5.5198,8.7447,653.2807,0.7091,2025-01-16,2025-09-27,5
983,Cuzz,JUNGLE,114,54,60,0.4737,3.1491,2.693,7.5526,5.173,6.5974,443.7018,0.7437,2025-01-16,2025-09-27,5
4755,Jiwoo,ADC,109,45,64,0.4128,3.7156,3.0642,5.1468,4.2698,8.9055,687.5413,0.657,2025-01-15,2025-09-07,5
2508,deokdam,ADC,106,51,55,0.4811,4.3679,2.4528,5.9717,5.2088,8.9358,703.6792,0.7138,2025-01-16,2025-09-27,5
1971,Kellin,SUPPORT,105,46,59,0.4381,0.7429,3.7714,10.6381,4.4271,0.9162,222.7524,0.7696,2025-01-16,2025-09-17,5
4233,Raptor,JUNGLE,105,46,59,0.4381,3.3524,3.3714,7.5524,5.1525,6.061,471.9714,0.7364,2025-01-16,2025-09-17,5
4943,Diable,ADC,105,46,59,0.4381,5.181,2.6095,5.5524,5.7521,9.5781,759.4952,0.7273,2025-01-16,2025-09-17,5
2545,Morgan,TOP,101,39,62,0.3861,2.604,2.7426,4.8416,3.3401,8.102,566.7129,0.569,2025-01-15,2025-09-06,4
3195,Clozer,MID,101,39,62,0.3861,3.0297,2.297,6.0198,4.49,9.1139,635.8614,0.6941,2025-01-15,2025-09-06,4
4865,Pollu,SUPPORT,101,39,62,0.3861,0.4851,3.6337,9.2277,3.4449,0.9287,193.7624,0.7407,2025-01-15,2025-09-06,4
3326,Vicla,MID,97,43,54,0.4433,2.7526,3.1856,7.0412,4.1243,8.3495,680.4021,0.656,2025-01-16,2025-09-17,5
1613,Rich,TOP,97,38,59,0.3918,2.5361,3.1031,5.0309,3.2327,7.601,597.134,0.5739,2025-01-15,2025-08-31,3
4753,Sponge,JUNGLE,97,38,59,0.3918,2.7732,3.6907,6.8144,4.0285,6.2866,441.0928,0.7484,2025-01-15,2025-08-31,3
5122,PerfecT,TOP,95,47,48,0.4947,2.2421,2.8,5.2842,3.4509,7.5632,511.9053,0.496,2025-01-16,2025-09-27,5
3421,Clear,TOP,95,43,52,0.4526,2.5474,3.0421,5.7789,3.9316,7.5989,589.1053,0.5225,2025-01-16,2025-09-17,5
4260,Peter,SUPPORT,92,47,45,0.5109,0.6413,3.6304,10.587,4.8952,1.0576,195.5326,0.7408,2025-04-04,2025-09-27,4
3247,Gumayusi,ADC,91,57,34,0.6264,5.011,2.2637,6.6044,5.8961,9.7319,769.5165,0.6982,2025-01-16,2025-09-21,5
3694,Hype,ADC,90,35,55,0.3889,4.0333,2.1889,5.0667,4.9012,9.3644,678.8778,0.693,2025-01-15,2025-09-06,4
3082,DuDu,TOP,88,21,67,0.2386,2.3977,3.0114,3.9205,2.7474,7.9273,574.9886,0.559,2025-01-15,2025-08-30,3
3322,Berserker,ADC,88,21,67,0.2386,3.3295,2.1932,4.7273,3.8822,9.55,650.9205,0.6901,2025-01-15,2025-08-30,3
4938,Andil,SUPPORT,87,36,51,0.4138,0.5977,4.1724,9.1609,3.0485,1.008,197.8736,0.7077,2025-01-15,2025-08-31,3
2664,Pyosik,JUNGLE,85,20,65,0.2353,2.4,3.0941,6.1882,3.4165,6.2365,356.8941,0.7675,2025-01-15,2025-08-30,3
1906,Life,SUPPORT,80,19,61,0.2375,0.675,4.0625,7.7125,2.8382,1.0013,183.3125,0.7534,2025-01-15,2025-08-30,3
5058,Calix,MID,77,24,53,0.3117,2.8701,2.6623,4.4545,4.0693,8.8338,590.4416,0.5973,2025-04-16,2025-09-07,4
3974,Bulldog,MID,76,19,57,0.25,2.2368,3.0921,5.7237,3.5346,8.5447,682.9211,0.6857,2025-01-15,2025-08-30,3
2645,Croco,JUNGLE,64,27,37,0.4219,3.0625,3.0781,7.0,3.8006,6.8688,440.2344,0.7638,2025-05-04,2025-09-06,3
799,Teddy,ADC,62,22,40,0.3548,4.1935,2.6129,5.4032,4.087,9.2226,667.1935,0.7131,2025-01-31,2025-08-31,3
1504,Ucal,MID,58,21,37,0.3621,3.1724,2.8448,4.8966,4.049,9.0534,611.6207,0.6446,2025-01-15,2025-05-23,2
4796,Fisher,MID,40,22,18,0.55,3.475,2.775,6.3,5.1013,8.6075,688.95,0.6245,2025-01-15,2025-04-13,2
5264,Kyeahoo,MID,39,17,22,0.4359,3.1795,2.7692,6.641,4.7951,8.5282,683.5128,0.6731,2025-05-29,2025-08-31,2
5919,LazyFeel,ADC,35,16,19,0.4571,3.6857,2.8,5.1429,4.0188,9.0314,596.0571,0.676,2025-01-15,2025-05-31,2
4217,HamBak,JUNGLE,32,11,21,0.3438,1.9062,3.7188,6.9688,3.1932,6.1438,388.9062,0.7309,2025-01-15,2025-05-01,2
4940,Smash,ADC,24,15,9,0.625,5.5417,1.9167,5.6667,5.6465,9.7125,698.4583,0.7115,2025-01-24,2025-04-18,2
4572,Way,SUPPORT,22,7,15,0.3182,0.6818,4.7727,7.9091,3.8314,0.9818,204.0455,0.7888,2025-01-16,2025-08-13,2
4925,Casting,TOP,19,7,12,0.3684,2.3684,3.2105,5.1579,3.2351,7.4211,622.3684,0.5387,2025-04-06,2025-05-04,1
5393,Pungyeon,MID,12,2,10,0.1667,1.6667,3.9167,3.0833,2.2861,8.775,595.0,0.6784,2025-01-25,2025-05-04,2
3438,Bull,ADC,11,4,7,0.3636,3.6364,2.1818,5.6364,3.2646,9.1545,631.4545,0.6837,2025-01-17,2025-05-29,2
4232,Soboro,TOP,10,3,7,0.3,3.0,3.6,4.7,2.5259,7.69,579.7,0.5329,2025-05-22,2025-06-01,1
2650,Pleata,SUPPORT,10,2,8,0.2,0.4,4.0,7.0,1.7746,0.96,163.7,0.7782,2025-04-13,2025-04-23,1
4215,Paduck,ADC,8,3,5,0.375,2.625,3.25,4.125,2.5708,8.5625,525.75,0.6305,2025-04-10,2025-04-17,1
4221,Daystar,MID,8,3,5,0.375,3.0,2.75,7.125,3.7667,8.175,575.625,0.6808,2025-05-25,2025-06-01,1
5394,Quantum,SUPPORT,8,2,6,0.25,0.625,4.0,8.75,3.8292,1.0,247.125,0.7815,2025-08-07,2025-08-27,1
2919,Ellim,JUNGLE,5,1,4,0.2,3.0,3.2,5.0,2.7667,6.64,394.4,0.6728,2025-04-03,2025-04-05,1
2761,Vital,ADC,4,1,3,0.25,2.25,1.75,3.5,2.75,9.175,743.5,0.8388,2025-05-23,2025-05-25,1
2575,Trigger,ADC,4,0,4,0.0,1.5,4.5,2.25,0.969,8.575,627.5,0.4722,2025-07-31,2025-08-03,1
4927,DDoiV,JUNGLE,3,1,2,0.3333,3.6667,4.3333,4.0,1.9778,6.4333,376.3333,0.686,2025-05-04,2025-05-04,1
