node,label,group,degree,grouped_x,grouped_y
Result,Result,game_info,0,-500.0,-340.0
Duration,Duration,game_info,0,-620.0,-340.0
level,level,raw_stats,0,-433.0,0.0
kills,kills,raw_stats,8,-470.2,64.7
deaths,deaths,raw_stats,2,-560.0,91.4
assists,assists,raw_stats,2,-649.8,64.7
cs,cs,raw_stats,2,-687.0,0.0
golds,golds,raw_stats,5,-649.8,-64.7
vision_score,vision_score,raw_stats,1,-560.0,-91.4
solo_kills,solo_kills,additional_stats,1,-417.0,340.0
double_kills,double_kills,multi_kills,1,111.0,340.0
triple_kills,triple_kills,multi_kills,1,0.0,419.9
quadra_kills,quadra_kills,multi_kills,1,-111.0,340.0
penta_kills,penta_kills,multi_kills,1,-0.0,260.1
gd_at_15,gd_at_15,opponent_diff,1,655.0,220.0
csd_at_15,csd_at_15,opponent_diff,1,629.2,277.1
xpd_at_15,xpd_at_15,opponent_diff,0,561.7,312.4
objectives_stolen,objectives_stolen,additional_stats,0,-436.2,391.5
damage_dealt_to_buildings,damage_dealt_to_buildings,additional_stats,0,-488.5,429.2
total_heal,total_heal,additional_stats,1,-560.0,443.0
total_heals_on_teammates,total_heals_on_teammates,additional_stats,1,-631.5,429.2
damage_self_mitigated,damage_self_mitigated,additional_stats,0,-683.8,391.5
total_damage_shielded_on_teammates,total_damage_shielded_on_teammates,additional_stats,0,-703.0,340.0
total_time_cc_dealt,total_time_cc_dealt,additional_stats,0,-683.8,288.5
total_damage_taken,total_damage_taken,additional_stats,0,-631.5,250.8
total_time_spent_dead,total_time_spent_dead,additional_stats,1,-560.0,237.0
shutdown_bounty_collected,shutdown_bounty_collected,additional_stats,2,-488.5,250.8
shutdown_bounty_lost,shutdown_bounty_lost,additional_stats,0,-436.2,288.5
total_damage_to_champion,total_damage_to_champion,raw_stats,1,-470.2,-64.7
team_kills,team_kills,team_context,2,643.0,-180.0
team_deaths,team_deaths,team_context,1,596.7,-110.8
team_assists,team_assists,team_context,2,492.6,-93.7
team_cs,team_cs,team_context,2,409.2,-141.6
team_golds,team_golds,team_context,4,409.2,-218.4
team_vision_score,team_vision_score,team_context,1,492.6,-266.3
team_total_damage_to_champion,team_total_damage_to_champion,team_context,1,596.7,-249.2
kills_diff_vs_role_opp,kills_diff,opponent_diff,1,478.3,312.4
deaths_diff_vs_role_opp,deaths_diff,opponent_diff,0,410.8,277.1
assists_diff_vs_role_opp,assists_diff,opponent_diff,1,385.0,220.0
cs_diff_vs_role_opp,cs_diff,opponent_diff,1,410.8,162.9
golds_diff_vs_role_opp,golds_diff,opponent_diff,3,478.3,127.6
vision_diff_vs_role_opp,vision_diff,opponent_diff,0,561.7,127.6
damage_diff_vs_role_opp,damage_diff,opponent_diff,0,629.2,162.9
